product_id,name_en,name_ar,brand,category,category_name_ar,category_link,series,price_sar,old_price_sar,availability,screen_size_in,display_type,ram_gb,storage_gb,short_desc,keywords,product_url,connectivity,item_type,resolution_px,ppi,cpu,os,bluetooth,wifi,Battery_mah,audio_jack,Micro_sd_slot
4065e8b6e497,BOOX Go 6,بووكس جو 6 2GB 32GB قارئ إلكتروني بشاشة حبر إلكتروني (أبيض),boox,tablets_readers,الأجهزة اللوحية وأجهزة القراءة,https://shop.smart.sa/ar/category/EdyrGY,Go,599,,unknown,6,eink,2,32,بووكس جو 6 2GB 32GB قارئ إلكتروني بشاشة حبر إلكتروني (أبيض),"boox,Go,eink,ram2,storage32",https://shop.smart.sa/ar/WlaBKGw,واي فاي (2.4 جيجا هرتز + 5 جيجا هرتز) + BT 5.0,e-ink tablet,1448x1072,300,2.0Ghz ثماني النواة,أندرويد 11,5,Yes,1500,Yes,
a990a898e69c,BOOX Note Max & Tab X C Magnetic Keyboard Cover,بووكس حافظة الحماية المغناطيسية للوحة المفاتيح لسلسلة نوت ماكس وتاب اكس سي,boox,computer_accessories,الكمبيوتر وملحقاته,https://shop.smart.sa/ar/category/AxRPaD,Note Max,599,,unknown,,,,,بووكس حافظة الحماية المغناطيسية للوحة المفاتيح لسلسلة نوت ماكس وتاب اكس سي,"boox,Note Max,case",https://shop.smart.sa/ar/DGxwQvv,,case,,,,,,,,,
d3f7f5cadea7,BOOX Note Max Tab X C Magnetic Case,بووكس حافظة الحماية المغناطيسية لسلسلة نوت ماكس (أسود),boox,computer_accessories,الكمبيوتر وملحقاته,https://shop.smart.sa/ar/category/AxRPaD,Note Max,209,,unknown,,,,,بووكس حافظة الحماية المغناطيسية لسلسلة نوت ماكس (أسود),"boox,Note Max,case",https://shop.smart.sa/ar/ZYvBaqY,,case,,,,,,,,,
6713d8353507,BOOX Note Max,بووكس نوت ماكس حبر اسود فقط 6GB 128GB جهاز لوحي بشاشة حبر إلكتروني 13.3 بوصة بدون اضاءة داخليه,boox,tablets_readers,الأجهزة اللوحية وأجهزة القراءة,https://shop.smart.sa/ar/category/EdyrGY,Note Max,2799,,unknown,13.3,eink_mono,6,128,بووكس نوت ماكس حبر اسود فقط 6GB 128GB جهاز لوحي بشاشة حبر إلكتروني 13.3 بوصة بدون اضاءة داخليه,"boox,Note Max,eink_mono,13.3in,ram6,storage128",https://shop.smart.sa/ar/ePERpnY,Wi-Fi + BT 5.0,e-ink tablet,3200x2400,301,ثماني النواة بسرعة 2.8 جيجاهرتز + BSR,Android 13,5,Wi-Fi + BT 5.0,3700,Yes,
a05ecbc03ab2,BOOX Palma 2 TPU Case White,بووكس حافظة الحماية لسلسلة بالما 2 (أبيض),boox,computer_accessories,الكمبيوتر وملحقاته,https://shop.smart.sa/ar/category/AxRPaD,Palma,89,,unknown,,,,,بووكس حافظة الحماية لسلسلة بالما 2 (أبيض),"boox,Palma,case",https://shop.smart.sa/ar/qQPYNBW,,case,,,,,,,,,
97715c35816b,BOOX Palma 2 TPU Case Black,بووكس حافظة الحماية لسلسلة بالما 2 (أسود),boox,computer_accessories,الكمبيوتر وملحقاته,https://shop.smart.sa/ar/category/AxRPaD,Palma,89,,unknown,,,,,بووكس حافظة الحماية لسلسلة بالما 2 (أسود),"boox,Palma,case",https://shop.smart.sa/ar/WlwGraV,,case,,,,,,,,,
68e71714073d,BOOX Palma 2,بووكس بالما 2 (أسود) 6G 128G قارئ إلكتروني بشاشة حبر إلكتروني,boox,tablets_readers,الأجهزة اللوحية وأجهزة القراءة,https://shop.smart.sa/ar/category/EdyrGY,Palma,1099,,unknown,6.13,eink,,128,بووكس بالما 2 (أسود) 6G 128G قارئ إلكتروني بشاشة حبر إلكتروني,"boox,Palma,eink",https://shop.smart.sa/ar/OqQbabe,Wi-Fi + BT 5.1,e-ink tablet,824x1648,301,ثماني النواة + BSR,Android 13,5.1,Wi-Fi + BT 5.1,3950,Yes,Yes
20c7f015e38c,BOOX Note Air4 Cover,بووكس حافظة الحماية الذكية القابلة للطي المغناطيسية لسلسلة نوت اير4,boox,computer_accessories,الكمبيوتر وملحقاته,https://shop.smart.sa/ar/category/AxRPaD,Note Air,99,,unknown,,,,,بووكس حافظة الحماية الذكية القابلة للطي المغناطيسية لسلسلة نوت اير4,"boox,Note Air,case",https://shop.smart.sa/ar/OqpPXww,,case,,,,,,,,,
5130a509b706,BOOX Pen Plus,بووكس قلم بلس أبيض,boox,computer_accessories,الكمبيوتر وملحقاته,https://shop.smart.sa/ar/category/AxRPaD,,179,,unknown,,,,,بووكس قلم بلس أبيض,"boox,stylus",https://shop.smart.sa/ar/VqowRaK,,stylus,,,,,,,,,
17e3c8cc8c56,Boox Go 6 Magnetic Case,بووكس حافظة الحماية المغناطيسية لسلسلة جو 6 (أسود),boox,computer_accessories,الكمبيوتر وملحقاته,https://shop.smart.sa/ar/category/AxRPaD,Go,99,,unknown,,,,,بووكس حافظة الحماية المغناطيسية لسلسلة جو 6 (أسود),"boox,Go,case",https://shop.smart.sa/ar/QdDpzlD,,case,,,,,,,,,
